Function,Type,Operation,ASCII,Support
Miscellaneous,Write,Right,right,YES
Miscellaneous,Write,Left,left,YES
Miscellaneous,Write,Enter,enter,YES
Miscellaneous,Write,3D Sync Off,3d=off,YES
Miscellaneous,Write,3D Auto,3d=auto,YES
Miscellaneous,Write,3D Sync Top Bottom,3d=tb,YES
Miscellaneous,Write,3D Sync Frame Sequential,3d=fs,YES
Miscellaneous,Write,3D Frame packing,3d=fp,NO
Miscellaneous,Write,3D Side by side,3d=sbs,YES
Miscellaneous,Write,3D inverter disable,3d=da,YES
Miscellaneous,Write,3D inverter,3d=iv,YES
Miscellaneous,Write,2D to 3D,3d=2d3d,NO
Miscellaneous,Write,3D nVIDIA,3d=nvidia,NO
Miscellaneous,Read,3D Sync Status,3d=?,YES
Miscellaneous,Write,Remote Set,rrset=0,NO
Miscellaneous,Read,Remote Set Status,rrset=?,NO
Miscellaneous,Write,Remote Receiver-front+rear,rr=fr,NO
Miscellaneous,Write,Remote Receiver-front,rr=f,NO
Miscellaneous,Write,Remote Receiver-rear,rr=r,NO
Miscellaneous,Write,Remote Receiver-top,rr=t,NO
Miscellaneous,Write,Remote Receiver-top+front,rr=tf,NO
Miscellaneous,Write,Remote Receiver-top+rear,rr=tr,NO
Miscellaneous,Read,Remote Receiver Status,rr=?,NO
Miscellaneous,Write,Instant On-on,ins=on,NO
Miscellaneous,Write,Instant On-off,ins=off,NO
Miscellaneous,Read,Instant On Status,ins=?,NO
Miscellaneous,Write,Lamp Saver Mode-on,lpsaver=on,NO
Miscellaneous,Write,Lamp Saver Mode-off,lpsaver=off,NO
Miscellaneous,Read,Lamp Saver Mode Status,lpsaver=?,NO
Miscellaneous,Write,Projection Log In Code on,prjlogincode=on,NO
Miscellaneous,Write,Projection Log In Code off,prjlogincode=off,NO
Miscellaneous,Read,Projection Log In Code Status,prjlogincode=?,NO
Miscellaneous,Write,Broadcasting on,broadcasting=on,NO
Miscellaneous,Write,Broadcasting off,broadcasting=off,NO
Miscellaneous,Read,Broadcasting Status,broadcasting=,NO
Miscellaneous,Write,AMX Device Discovery-on,amxdd=on,NO
Miscellaneous,Write,AMX Device Discovery-off,amxdd=off,NO
Miscellaneous,Read,AMX Device Discovery Status,amxdd=?,NO
Miscellaneous,Read,Mac Address,macaddr=?,NO
Miscellaneous,Write,Trigger on,trigger=on,YES
Miscellaneous,Write,Trigger off,trigger=off,YES
Miscellaneous,Read,Trigger status,trigger=?,YES
Miscellaneous,Write,High Altitude mode on,Highaltitude=on,YES
Miscellaneous,Write,High Altitude mode off,Highaltitude=off,YES
Miscellaneous,Read,High Altitude mode status,Highaltitude=?,YES
Miscellaneous,Read,Error Code,error=report,YES
Miscellaneous,Write,Serial Number code1,99N123,NO
Miscellaneous,Read,Serial Number Query,99N000,NO
Miscellaneous,Write,Lens Shift Up,lst=up,YES
Miscellaneous,Write,Lens Shift Down,lst=down,YES
Miscellaneous,Write,Lens Shift Left,lst=left,YES
Miscellaneous,Write,Lens Shift Right,lst=right,YES
Miscellaneous,Write,Focus Plus,focus=+,YES
Miscellaneous,Write,Focus Minus,focus=-,YES
Miscellaneous,Write,Zoom Plus,zoom=+,YES
Miscellaneous,Write,Zoom Minus,zoom=-,YES
Miscellaneous,Write,Keystone-Vertical Decrease,keyst=-,YES
Miscellaneous,Write,Keystone-Vertical Increase,keyst=+,YES
Miscellaneous,Read,Keystone-Vertical Status,keyst=?,YES
